Vehicle_Name,Name,Price($),InventoryType,Distance from 30342,Dealership
2014-Audi-Q5,2014 Audi Q5 2.0T Premium Plus,"$21,500",Used,147 mi. from 30341,TLC Motors
2016-Audi-Q5,2016 Audi Q5 2.0T Premium Plus,"$22,997",Used,147 mi. from 30341,Century Automotive
2018-Audi-A5,2018 Audi A5 2.0T Premium Plus,"$40,789",Used,131 mi. from 30341,EchoPark Automotive Augusta Delivery Center
2018-Audi-Q5,2018 Audi Q5 2.0T Tech Premium,"$37,579",Used,11 mi. from 30341,EchoPark Automotive Atlanta (Marietta)
2018-Audi-S5,2018 Audi S5 3.0T Prestige,"$48,497",Used,100 mi. from 30341,AutoNation Volkswagen Columbus
2018-Audi-A5,2018 Audi A5 2.0T Prestige,"$33,490",Used,14 mi. from 30341,Platinum Cars Marietta
2018-Audi-A7,2018 Audi A7 3.0T Prestige,"$51,995",Audi Certified,0 mi. from 30341,Audi Atlanta
2017-Audi-Q3,2017 Audi Q3 2.0T Premium,"$24,895",Used,7 mi. from 30341,Gravity Autos Sandy Springs
2018-Audi-S4,2018 Audi S4 3.0T Premium Plus,"$54,298",Used,137 mi. from 30341,Harper Audi
2018-Audi-Q5,2018 Audi Q5 2.0T Tech Premium,"$37,619",Used,129 mi. from 30341,EchoPark Automotive Greenville Delivery Center
2018-Audi-Q7,2018 Audi Q7 3.0T Prestige,"$59,995",Used,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2020-Audi-Q7,2020 Audi Q7 55 Prestige,"$76,990",Used,150 mi. from 30341,Hiley Automotive Group
2019-Audi-A6,2019 Audi A6 3.0T Premium Plus,"$49,995",Audi Certified,0 mi. from 30341,Audi Atlanta
2018-Audi-S4,2018 Audi S4 3.0T Premium Plus,"$52,363",Used,137 mi. from 30341,Harper Audi
2020-Audi-A4,2020 Audi A4 40 Premium,"$37,995",Used,0 mi. from 30341,Audi Atlanta
2019-Audi-Q8,2019 Audi Q8 3.0T Premium,"$69,995",Audi Certified,0 mi. from 30341,Audi Atlanta
2017-Audi-Q7,2017 Audi Q7 3.0T Premium Plus,"$36,888",Used,4 mi. from 30341,Mike Rezi Nissan Atlanta
2018-Audi-Q5,2018 Audi Q5 2.0T Tech Premium,"$39,673",Audi Certified,15 mi. from 30341,Audi Marietta
2018-Audi-A5,2018 Audi A5 2.0T Prestige,"$39,500",Used,14 mi. from 30341,Jaguar Land Rover of North Atlanta
2017-Audi-Q7,2017 Audi Q7 3.0T Prestige,"$45,193",Used,137 mi. from 30341,Harper Audi
2018-Audi-Q5,2018 Audi Q5 2.0T Tech Premium,"$41,990",Audi Certified,15 mi. from 30341,Audi Marietta
2019-Audi-Q8,2019 Audi Q8 3.0T Premium,"$83,695",Used,26 mi. from 30341,Audi South Atlanta
2016-Audi-A7,2016 Audi A7 3.0T Prestige,"$43,995",Used,0 mi. from 30341,Audi Atlanta
2018-Audi-Q5,2018 Audi Q5 2.0T Tech Premium,"$41,995",Audi Certified,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2016-Audi-A3,2016 Audi A3 1.8T Premium,"$23,989",Used,11 mi. from 30341,EchoPark Automotive Atlanta (Duluth)
2018-Audi-Q5,2018 Audi Q5 2.0T Tech Premium,"$43,742",Used,137 mi. from 30341,Grayson BMW
2012-Audi-Q5,2012 Audi Q5 3.2 Premium Plus,"$16,380",Used,0 mi. from 30341,Jim Ellis Hyundai
2018-Audi-Q5,2018 Audi Q5 2.0T Premium Plus,"$37,799",Used,142 mi. from 30341,EchoPark Automotive Knoxville Delivery Center
2018-Audi-A4,2018 Audi A4 2.0T Premium Plus,"$30,399",Used,139 mi. from 30341,EchoPark Automotive Birmingham
2016-Audi-A7,2016 Audi A7 3.0T Prestige,"$47,995",Used,0 mi. from 30341,Audi Atlanta
2017-Audi-Q7,2017 Audi Q7 3.0T Premium Plus,"$31,911",Used,41 mi. from 30341,Southtowne Hyundai Of Newnan
2018-Audi-Q5,2018 Audi Q5 2.0T Tech Premium,"$43,995",Audi Certified,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2018-Audi-Q7,2018 Audi Q7 3.0T Prestige,"$43,995",Used,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2019-Audi-Q8,2019 Audi Q8 3.0T Premium,"$73,999",Used,10 mi. from 30341,Global Imports BMW
2017-Audi-Q7,2017 Audi Q7 3.0T Premium Plus,"$49,995",Used,149 mi. from 30341,"Sports & Imports, Inc."
2018-Audi-Q5,2018 Audi Q5 2.0T Tech Premium,"$43,575",Audi Certified,15 mi. from 30341,Audi Marietta
2019-Audi-Q8,2019 Audi Q8 3.0T Prestige,"$79,685",Used,137 mi. from 30341,Harper Audi
2014-Audi-S5,2014 Audi S5 3.0T Premium Plus quattro,"$39,988",Used,25 mi. from 30341,Mall of Georgia MINI
2019-Audi-Q8,2019 Audi Q8 3.0T Prestige,"$77,053",Used,137 mi. from 30341,Harper Audi
2019-Audi-Q5,2019 Audi Q5 2.0T Premium Plus,"$46,992",Used,15 mi. from 30341,Audi Marietta
2020-Audi-A4,2020 Audi A4 40 Premium,"$36,991",Audi Certified,10 mi. from 30341,Audi North Atlanta
2016-Audi-A6,2016 Audi A6 2.0T Premium Plus,"$28,589",Used,29 mi. from 30341,Shottenkirk Chrysler Dodge Jeep RAM
2018-Audi-Q7,2018 Audi Q7 2.0T Premium Plus,"$39,999",Used,13 mi. from 30341,Atlanta Autos
2012-Audi-Q5,2012 Audi Q5 3.2 Premium Plus,"$12,995",Used,26 mi. from 30341,Cherokee Auto Sales
2021-Audi-A5,2021 Audi A5 2.0T Premium Plus,"$54,995",Used,26 mi. from 30341,Audi South Atlanta
2016-Audi-A3,2016 Audi A3 1.8T Premium,"$18,196",Used,10 mi. from 30341,"Nalley Lexus, Roswell"
2017-Audi-Q7,2017 Audi Q7 3.0T Premium Plus,"$37,291",Used,129 mi. from 30341,Crown Nissan of Greenville
2012-Audi-Q5,2012 Audi Q5 3.2 Premium Plus,"$14,900",Used,184 mi. from 30341,C&S Automotive
2020-Audi-A4,2020 Audi A4 40 Premium,"$37,995",Audi Certified,0 mi. from 30341,Audi Atlanta
2021-Audi-RS,2021 Audi RS 7 4.0T,"$138,292",Used,150 mi. from 30341,Hiley Automotive Group
2019-Audi-Q5,2019 Audi Q5 2.0T Premium Plus,"$43,997",Used,10 mi. from 30341,Global Imports BMW
2018-Audi-Q7,2018 Audi Q7 3.0T Prestige,"$59,995",Audi Certified,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2019-Audi-A5,2019 Audi A5 2.0T Premium Plus,"$43,590",Used,148 mi. from 30341,Carvana-Touchless Delivery To Your Home
2018-Audi-A5,2018 Audi A5 2.0T Premium Plus,"$41,103",Used,137 mi. from 30341,Harper Audi
2020-Audi-Q5,2020 Audi Q5 45 Titanium Premium,"$46,995",Audi Certified,0 mi. from 30341,Audi Atlanta
2018-Audi-Q3,2018 Audi Q3 2.0T Premium,"$28,963",Used,29 mi. from 30341,Shottenkirk Hyundai
2017-Audi-Q7,2017 Audi Q7 3.0T Premium,"$37,990",Used,150 mi. from 30341,Hiley Automotive Group
2016-Audi-A6,2016 Audi A6 2.0T Premium Plus,"$29,988",Used,25 mi. from 30341,Mall of Georgia MINI
2017-Audi-Q7,2017 Audi Q7 3.0T Premium Plus,"$33,995",Used,0 mi. from 30341,Audi Atlanta
2015-Audi-Q7,2015 Audi Q7 3.0T Premium Plus,"$26,998",Used,13 mi. from 30341,Grand Motorcars
2021-Audi-A5,2021 Audi A5 2.0T Premium Plus,"$52,895",Used,26 mi. from 30341,Audi South Atlanta
2014-Audi-Q7,2014 Audi Q7 3.0L TDI Prestige,"$23,990",Used,141 mi. from 30341,Ted Russell Ford Lincoln Kingston Pike
2018-Audi-Q3,2018 Audi Q3 2.0T Premium,"$28,966",Used,15 mi. from 30341,ALM Marietta
2019-Audi-S5,2019 Audi S5 3.0T Premium Plus,"$59,900",Used,6 mi. from 30341,Nalley BMW
2018-Audi-Q5,2018 Audi Q5 2.0T Premium Plus,"$36,489",Used,142 mi. from 30341,EchoPark Automotive Knoxville Delivery Center
2014-Audi-Q5,2014 Audi Q5 2.0T Premium Plus,"$19,000",Used,147 mi. from 30341,TLC Motors
2017-Audi-Q7,2017 Audi Q7 3.0T Premium Plus,"$32,990",Used,148 mi. from 30341,Driver's Way
2017-Audi-Q7,2017 Audi Q7 3.0T Prestige,"$43,923",Used,137 mi. from 30341,Harper Audi
2015-Audi-A3,2015 Audi A3 1.8T Premium,"$17,998",Used,21 mi. from 30341,Grand Motorcars Kennesaw
2013-Audi-Q5,2013 Audi Q5 2.0T Premium Plus,"$17,988",Used,11 mi. from 30341,Automax Atlanta
2014-Audi-Q5,2014 Audi Q5 2.0T Premium Plus,"$18,224",Used,150 mi. from 30341,Hunter Subaru Hyundai Volvo
2012-Audi-Q5,2012 Audi Q5 3.2 Premium Plus,"$12,995",Used,26 mi. from 30341,Cherokee Auto Sales
2021-Audi-e-tron,2021 Audi e-tron Premium Plus,"$78,995",Audi Certified,0 mi. from 30341,Audi Atlanta
2015-Audi-A3,2015 Audi A3 1.8T Premium,"$20,498",Used,21 mi. from 30341,Grand Motorcars Kennesaw
2021-Audi-A5,2021 Audi A5 2.0T Premium Plus,"$54,995",Used,26 mi. from 30341,Audi South Atlanta
2020-Audi-Q5,2020 Audi Q5 45 Titanium Premium,"$47,990",Used,15 mi. from 30341,Audi Marietta
2018-Audi-Q5,2018 Audi Q5 2.0T Premium Plus,"$44,161",Used,137 mi. from 30341,Harper Audi
2018-Audi-Q3,2018 Audi Q3 2.0T Premium,"$27,995",Used,0 mi. from 30341,Audi Atlanta
2018-Audi-Q3,2018 Audi Q3 2.0T Premium,"$24,895",Used,7 mi. from 30341,Gravity Autos Sandy Springs
2019-Audi-A4,2019 Audi A4 2.0T Premium,"$32,941",Used,11 mi. from 30341,BMW of Gwinnett Place
2013-Audi-Q7,2013 Audi Q7 3.0T Premium Plus,"$14,563",Used,137 mi. from 30341,Grayson BMW
2019-Audi-A6,2019 Audi A6 45 Premium,"$48,788",Audi Certified,15 mi. from 30341,Audi Marietta
2019-Audi-Q8,2019 Audi Q8 3.0T Premium,"$63,991",Audi Certified,10 mi. from 30341,Audi North Atlanta
2018-Audi-Q5,2018 Audi Q5 2.0T Premium Plus,"$38,989",Used,142 mi. from 30341,EchoPark Automotive Knoxville Delivery Center
2015-Audi-Q5,2015 Audi Q5 2.0T Premium Plus,"$21,900",Used,129 mi. from 30341,Lexus of Greenville
2020-Audi-Q5,2020 Audi Q5 45 Titanium Premium,"$46,695",Audi Certified,11 mi. from 30341,Audi Gwinnett
2018-Audi-A5,2018 Audi A5 2.0T Premium Plus,"$39,874",Used,137 mi. from 30341,Harper Audi
2017-Audi-A4,2017 Audi A4 ,"$24,995",Used,10 mi. from 30341,United BMW
2021-Audi-e-tron,2021 Audi e-tron Premium Plus,"$76,995",Audi Certified,0 mi. from 30341,Audi Atlanta
2016-Audi-A3,2016 Audi A3 1.8T Premium,"$20,700",Used,192 mi. from 30341,Select Motors Inc.
2015-Audi-Q5,2015 Audi Q5 2.0T Premium,"$19,995",Used,24 mi. from 30341,Evolution Cars
2012-Audi-A7,2012 Audi A7 3.0T quattro Premium,"$24,951",Used,35 mi. from 30341,Hayes Chrysler Dodge Jeep RAM - Gainesville
2010-Audi-A4,2010 Audi A4 2.0T Premium Plus quattro,"$8,990",Used,153 mi. from 30341,Carolina Auto Connection
2017-Audi-A4,2017 Audi A4 2.0T Premium,"$27,289",Used,11 mi. from 30341,EchoPark Automotive Atlanta (Marietta)
2019-Audi-A8,2019 Audi A8 L 55,"$69,990",Used,15 mi. from 30341,Audi Marietta
2012-Audi-TT,2012 Audi TT 2.0T Premium Plus quattro,"$13,995",Used,26 mi. from 30341,Cherokee Auto Sales
2014-Audi-A8,2014 Audi A8 L 3.0T,"$28,750",Used,11 mi. from 30341,Automax Atlanta
2018-Audi-Q7,2018 Audi Q7 3.0T Prestige,"$50,000",Used,106 mi. from 30341,Finnicum Motor Company - Columbus
2013-Audi-Q5,2013 Audi Q5 2.0T Premium Plus,"$14,995",Used,26 mi. from 30341,Cherokee Auto Sales
2012-Audi-A7,2012 Audi A7 3.0T Prestige quattro,"$23,995",Used,24 mi. from 30341,Jet's Auto Sales
2017-Audi-Q3,2017 Audi Q3 2.0T Premium,"$19,999",Used,22 mi. from 30341,AutoNation Toyota Thornton Road
2018-Audi-R8,2018 Audi R8 5.2 quattro Plus,"$169,995",Used,0 mi. from 30341,Audi Atlanta
2018-Audi-Q7,2018 Audi Q7 2.0T Premium Plus,"$38,999",Used,190 mi. from 30341,"Vroom - Get It Delivered Nationwide, Contact-Free"
2017-Audi-A4,2017 Audi A4 2.0T Premium,"$26,000",Used,5 mi. from 30341,Car Connection Inc.
2018-Audi-S5,2018 Audi S5 3.0T Prestige,"$46,495",Used,15 mi. from 30341,Volvo Cars of Marietta
2018-Audi-A8,2018 Audi A8 L 4.0T Sport,"$49,499",Used,11 mi. from 30341,"Vroom - Get It Delivered Nationwide, Contact-Free"
2014-Audi-A8,2014 Audi A8 L 3.0T,"$28,988",Used,11 mi. from 30341,Automax Atlanta
2017-Audi-A4,2017 Audi A4 2.0T Prestige,"$34,958",Used,100 mi. from 30341,AutoNation Volkswagen Columbus
2021-Audi-e-tron,2021 Audi e-tron Premium Plus,"$76,983",Used,150 mi. from 30341,Hiley Automotive Group
2018-Audi-Q5,2018 Audi Q5 2.0T Premium Plus,"$40,995",Audi Certified,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2015-Audi-A3,2015 Audi A3 2.0T Premium,"$25,497",Used,25 mi. from 30341,AutoNation Volkswagen Mall of Georgia
2018-Audi-A5,2018 Audi A5 Prestige,"$44,499",Used,25 mi. from 30341,"Vroom - Get It Delivered Nationwide, Contact-Free"
2019-Audi-Q7,2019 Audi Q7 3.0T Premium Plus,"$48,499",Used,139 mi. from 30341,"Vroom - Get It Delivered Nationwide, Contact-Free"
2016-Audi-A7,2016 Audi A7 3.0 Prestige,"$36,999",Used,25 mi. from 30341,"Vroom - Get It Delivered Nationwide, Contact-Free"
2020-Audi-Q5,2020 Audi Q5 45 Premium Plus,"$48,995",Audi Certified,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2018-Audi-Q3,2018 Audi Q3 2.0T Premium,"$30,995",Audi Certified,0 mi. from 30341,Audi Atlanta
2021-Audi-Q5,2021 Audi Q5 45 Premium Plus,"$61,883",Used,150 mi. from 30341,Hiley Automotive Group
2018-Audi-A4,2018 Audi A4 2.0T ultra Premium,"$29,988",Used,23 mi. from 30341,ALM Mall of GA
2019-Audi-S5,2019 Audi S5 3.0T Prestige,"$55,499",Used,25 mi. from 30341,"Vroom - Get It Delivered Nationwide, Contact-Free"
2014-Audi-Q5,2014 Audi Q5 2.0T Premium,"$23,990",Used,14 mi. from 30341,Carvana-Touchless Delivery To Your Home
2018-Audi-Q5,2018 Audi Q5 2.0T Premium Plus,"$47,795",Audi Certified,11 mi. from 30341,Audi Gwinnett
2018-Audi-Q5,2018 Audi Q5 2.0T Tech Premium,"$37,590",Used,14 mi. from 30341,Carvana-Touchless Delivery To Your Home
2019-Audi-e-tron,2019 Audi e-tron Premium Plus,"$69,995",Used,26 mi. from 30341,Audi South Atlanta
2019-Audi-SQ5,2019 Audi SQ5 Premium Plus,"$45,999",Used,190 mi. from 30341,"Vroom - Get It Delivered Nationwide, Contact-Free"
